date,network,daypart,viewers
201408,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",374
201408,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",648
201408,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",170
201408,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",347
201408,A,"S,Su 6:00 AM - 8:00 AM",97
201408,B,"S,Su 6:00 AM - 8:00 AM",0
201409,A,"S,Su 8:00 AM - 1:00 PM",195
201409,B,"S,Su 8:00 AM - 1:00 PM",351
201409,A,"S,Su 1:00 PM - 8:00 PM",281
201409,B,"S,Su 1:00 PM - 8:00 PM",519
201409,A,"M,T,W,R,F 6:00 AM - 10:00 AM",87
201409,B,"M,T,W,R,F 6:00 AM - 10:00 AM",159
201409,A,"M,T,W,R,F 10:00 AM - 1:00 PM",131
201409,B,"M,T,W,R,F 10:00 AM - 1:00 PM",264
201409,A,"M,T,W,R,F 1:00 PM - 4:00 PM",175
201409,B,"M,T,W,R,F 1:00 PM - 4:00 PM",349
201409,A,"M,T,W,R,F 4:00 PM - 6:00 PM",182
201409,B,"M,T,W,R,F 4:00 PM - 6:00 PM",423
201409,A,"M,T,W,R,F 6:00 PM - 8:00 PM",256
201409,B,"M,T,W,R,F 6:00 PM - 8:00 PM",553
201409,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",536
201409,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",961
201409,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",348
201409,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",529
201409,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",178
201409,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",296
201409,A,"S,Su 6:00 AM - 8:00 AM",99
201409,B,"S,Su 6:00 AM - 8:00 AM",0
201410,A,"S,Su 8:00 AM - 1:00 PM",169
201410,B,"S,Su 8:00 AM - 1:00 PM",412
201410,A,"S,Su 1:00 PM - 8:00 PM",284
201410,B,"S,Su 1:00 PM - 8:00 PM",519
201410,A,"M,T,W,R,F 6:00 AM - 10:00 AM",88
201410,B,"M,T,W,R,F 6:00 AM - 10:00 AM",153
201410,A,"M,T,W,R,F 10:00 AM - 1:00 PM",106
201410,B,"M,T,W,R,F 10:00 AM - 1:00 PM",271
201410,A,"M,T,W,R,F 1:00 PM - 4:00 PM",139
201410,B,"M,T,W,R,F 1:00 PM - 4:00 PM",339
201410,A,"M,T,W,R,F 4:00 PM - 6:00 PM",173
201410,B,"M,T,W,R,F 4:00 PM - 6:00 PM",440
201410,A,"M,T,W,R,F 6:00 PM - 8:00 PM",250
201410,B,"M,T,W,R,F 6:00 PM - 8:00 PM",614
201410,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",553
201410,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1055
201410,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",355
201410,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",570
201410,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",176
201410,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",315
201410,A,"S,Su 6:00 AM - 8:00 AM",105
201410,B,"S,Su 6:00 AM - 8:00 AM",0
201411,A,"M,T,W,R,F 6:00 AM - 10:00 AM",90
201411,A,"M,T,W,R,F 10:00 AM - 1:00 PM",107
201411,B,"M,T,W,R,F 6:00 AM - 10:00 AM",169
201411,B,"M,T,W,R,F 10:00 AM - 1:00 PM",310
201411,A,"M,T,W,R,F 1:00 PM - 4:00 PM",170
201411,A,"M,T,W,R,F 4:00 PM - 6:00 PM",203
201411,B,"M,T,W,R,F 1:00 PM - 4:00 PM",362
